Questions,Acceptance Rate,Difficulty
249. Group Shifted Strings,64.3%,Medium
250. Count Univalue Subtrees,55.5%,Medium
251. Flatten 2D Vector,49.2%,Medium
252. Meeting Rooms,57.3%,Easy
253. Meeting Rooms II,50.6%,Medium
254. Factor Combinations,49.1%,Medium
255. Verify Preorder Sequence in Binary Search Tree,48.3%,Medium
256. Paint House,61.2%,Medium
257. Binary Tree Paths,61.6%,Easy
258. Add Digits,65.7%,Easy
259. 3Sum Smaller,50.6%,Medium
260. Single Number III,67.7%,Medium
261. Graph Valid Tree,47.2%,Medium
262. Trips and Users,37.0%,Hard
263. Ugly Number,42.2%,Easy
264. Ugly Number II,46.2%,Medium
265. Paint House II,53.5%,Hard
266. Palindrome Permutation,66.1%,Easy
267. Palindrome Permutation II,40.8%,Medium
268. Missing Number,62.9%,Easy
269. Alien Dictionary,35.3%,Hard
270. Closest Binary Search Tree Value,54.4%,Easy
271. Encode and Decode Strings,43.2%,Medium
272. Closest Binary Search Tree Value II,58.5%,Hard
273. Integer to English Words,30.0%,Hard
274. H-Index,38.4%,Medium
275. H-Index II,37.6%,Medium
276. Paint Fence,44.7%,Medium
277. Find the Celebrity,46.7%,Medium
278. First Bad Version,43.5%,Easy
279. Perfect Squares,52.7%,Medium
280. Wiggle Sort,67.1%,Medium
281. Zigzag Iterator,62.9%,Medium
282. Expression Add Operators,39.2%,Hard
283. Move Zeroes,61.4%,Easy
284. Peeking Iterator,58.7%,Medium
285. Inorder Successor in BST,48.8%,Medium
286. Walls and Gates,60.5%,Medium
287. Find the Duplicate Number,59.1%,Medium
288. Unique Word Abbreviation,25.7%,Medium
289. Game of Life,67.3%,Medium
290. Word Pattern,41.7%,Easy
291. Word Pattern II,47.1%,Medium
292. Nim Game,56.2%,Easy
293. Flip Game,63.3%,Easy
294. Flip Game II,51.9%,Medium
295. Find Median from Data Stream,51.4%,Hard
296. Best Meeting Point,60.1%,Hard
297. Serialize and Deserialize Binary Tree,55.5%,Hard
298. Binary Tree Longest Consecutive Sequence,52.9%,Medium
299. Bulls and Cows,49.6%,Medium
300. Longest Increasing Subsequence,52.4%,Medium
301. Remove Invalid Parentheses,47.2%,Hard
302. Smallest Rectangle Enclosing Black Pixels,58.5%,Hard
303. Range Sum Query - Immutable,59.9%,Easy
304. Range Sum Query 2D - Immutable,53.0%,Medium
305. Number of Islands II,39.6%,Hard
306. Additive Number,31.1%,Medium
307. Range Sum Query - Mutable,40.7%,Medium
308. Range Sum Query 2D - Mutable,43.0%,Hard
309. Best Time to Buy and Sell Stock with Cooldown,56.4%,Medium
310. Minimum Height Trees,38.6%,Medium
311. Sparse Matrix Multiplication,67.6%,Medium
312. Burst Balloons,57.1%,Hard
313. Super Ugly Number,45.4%,Medium
314. Binary Tree Vertical Order Traversal,52.3%,Medium
315. Count of Smaller Numbers After Self,42.5%,Hard
316. Remove Duplicate Letters,45.3%,Medium
317. Shortest Distance from All Buildings,42.6%,Hard
318. Maximum Product of Word Lengths,59.9%,Medium
319. Bulb Switcher,52.5%,Medium
320. Generalized Abbreviation,57.8%,Medium
321. Create Maximum Number,29.2%,Hard
322. Coin Change,42.2%,Medium
323. Number of Connected Components in an Undirected Graph,62.3%,Medium
324. Wiggle Sort II,33.5%,Medium
325. Maximum Size Subarray Sum Equals k,49.2%,Medium
326. Power of Three,45.6%,Easy
327. Count of Range Sum,35.8%,Hard
328. Odd Even Linked List,61.3%,Medium
329. Longest Increasing Path in a Matrix,52.5%,Hard
330. Patching Array,40.4%,Hard
331. Verify Preorder Serialization of a Binary Tree,44.6%,Medium
332. Reconstruct Itinerary,41.3%,Hard
333. Largest BST Subtree,42.9%,Medium
334. Increasing Triplet Subsequence,42.6%,Medium
335. Self Crossing,29.5%,Hard
336. Palindrome Pairs,35.0%,Hard
337. House Robber III,53.9%,Medium
338. Counting Bits,75.9%,Easy
339. Nested List Weight Sum,82.3%,Medium
340. Longest Substring with At Most K Distinct Characters,48.0%,Medium
341. Flatten Nested List Iterator,61.9%,Medium
342. Power of Four,46.3%,Easy
343. Integer Break,56.2%,Medium
344. Reverse String,76.9%,Easy
345. Reverse Vowels of a String,50.3%,Easy
346. Moving Average from Data Stream,77.1%,Easy
347. Top K Frequent Elements,64.3%,Medium
348. Design Tic-Tac-Toe,57.6%,Medium
349. Intersection of Two Arrays,71.1%,Easy
350. Intersection of Two Arrays II,56.1%,Easy
351. Android Unlock Patterns,51.6%,Medium
352. Data Stream as Disjoint Intervals,59.7%,Hard
353. Design Snake Game,39.1%,Medium
354. Russian Doll Envelopes,37.9%,Hard
355. Design Twitter,37.5%,Medium
356. Line Reflection,34.9%,Medium
357. Count Numbers with Unique Digits,51.9%,Medium
358. Rearrange String k Distance Apart,37.8%,Hard
359. Logger Rate Limiter,75.6%,Easy
360. Sort Transformed Array,55.1%,Medium
361. Bomb Enemy,51.4%,Medium
362. Design Hit Counter,68.4%,Medium
363. Max Sum of Rectangle No Larger Than K,44.0%,Hard
364. Nested List Weight Sum II,66.5%,Medium
365. Water and Jug Problem,38.0%,Medium
366. Find Leaves of Binary Tree,80.3%,Medium
367. Valid Perfect Square,43.4%,Easy
368. Largest Divisible Subset,41.6%,Medium
369. Plus One Linked List,61.0%,Medium
370. Range Addition,71.2%,Medium
371. Sum of Two Integers,50.7%,Medium
372. Super Pow,36.1%,Medium
373. Find K Pairs with Smallest Sums,38.3%,Medium
374. Guess Number Higher or Lower,52.0%,Easy
375. Guess Number Higher or Lower II,47.0%,Medium
376. Wiggle Subsequence,48.4%,Medium
377. Combination Sum IV,52.2%,Medium
378. Kth Smallest Element in a Sorted Matrix,61.8%,Medium
379. Design Phone Directory,51.2%,Medium
380. Insert Delete GetRandom O(1),52.8%,Medium
381. Insert Delete GetRandom O(1) - Duplicates allowed,35.5%,Hard
382. Linked List Random Node,62.8%,Medium
383. Ransom Note,58.5%,Easy
384. Shuffle an Array,57.9%,Medium
385. Mini Parser,37.0%,Medium
386. Lexicographical Numbers,61.8%,Medium
387. First Unique Character in a String,59.8%,Easy
388. Longest Absolute File Path,46.7%,Medium
389. Find the Difference,59.7%,Easy
390. Elimination Game,45.9%,Medium
391. Perfect Rectangle,32.9%,Hard
392. Is Subsequence,47.4%,Easy
393. UTF-8 Validation,45.1%,Medium
394. Decode String,58.0%,Medium
395. Longest Substring with At Least K Repeating Characters,44.7%,Medium
396. Rotate Function,41.3%,Medium
397. Integer Replacement,35.2%,Medium
398. Random Pick Index,62.5%,Medium
399. Evaluate Division,61.3%,Medium
400. Nth Digit,34.2%,Medium
401. Binary Watch,52.6%,Easy
402. Remove K Digits,30.6%,Medium
403. Frog Jump,43.1%,Hard
404. Sum of Left Leaves,56.9%,Easy
405. Convert a Number to Hexadecimal,46.9%,Easy
406. Queue Reconstruction by Height,73.0%,Medium
407. Trapping Rain Water II,47.6%,Hard
408. Valid Word Abbreviation,34.8%,Easy
409. Longest Palindrome,54.1%,Easy
410. Split Array Largest Sum,53.6%,Hard
411. Minimum Unique Word Abbreviation,39.5%,Hard
412. Fizz Buzz,70.2%,Easy
413. Arithmetic Slices,65.1%,Medium
414. Third Maximum Number,33.4%,Easy
415. Add Strings,52.4%,Easy
416. Partition Equal Subset Sum,46.2%,Medium
417. Pacific Atlantic Water Flow,54.5%,Medium
418. Sentence Screen Fitting,35.6%,Medium
419. Battleships in a Board,74.9%,Medium
420. Strong Password Checker,13.7%,Hard
421. Maximum XOR of Two Numbers in an Array,53.9%,Medium
422. Valid Word Square,40.1%,Easy
423. Reconstruct Original Digits from English,51.3%,Medium
424. Longest Repeating Character Replacement,52.1%,Medium
425. Word Squares,52.9%,Hard
426. Convert Binary Search Tree to Sorted Doubly Linked List,64.7%,Medium
427. Construct Quad Tree,74.6%,Medium
428. Serialize and Deserialize N-ary Tree,66.1%,Hard
429. N-ary Tree Level Order Traversal,70.7%,Medium
430. Flatten a Multilevel Doubly Linked List,59.7%,Medium
431. Encode N-ary Tree to Binary Tree,78.9%,Hard
432. All O`one Data Structure,36.6%,Hard
433. Minimum Genetic Mutation,52.5%,Medium
434. Number of Segments in a String,36.9%,Easy
435. Non-overlapping Intervals,50.4%,Medium
436. Find Right Interval,51.0%,Medium
437. Path Sum III,47.8%,Medium
438. Find All Anagrams in a String,50.2%,Medium
439. Ternary Expression Parser,58.5%,Medium
440. K-th Smallest in Lexicographical Order,31.2%,Hard
441. Arranging Coins,46.3%,Easy
442. Find All Duplicates in an Array,73.5%,Medium
443. String Compression,52.4%,Medium
444. Sequence Reconstruction,26.8%,Medium
445. Add Two Numbers II,59.7%,Medium
446. Arithmetic Slices II - Subsequence,46.6%,Hard
447. Number of Boomerangs,55.0%,Medium
448. Find All Numbers Disappeared in an Array,60.0%,Easy
449. Serialize and Deserialize BST,57.1%,Medium
450. Delete Node in a BST,50.4%,Medium
451. Sort Characters By Frequency,70.1%,Medium
452. Minimum Number of Arrows to Burst Balloons,55.3%,Medium
453. Minimum Moves to Equal Array Elements,56.0%,Medium
454. 4Sum II,57.2%,Medium
455. Assign Cookies,49.9%,Easy
456. 132 Pattern,32.4%,Medium
457. Circular Array Loop,32.8%,Medium
458. Poor Pigs,62.4%,Hard
459. Repeated Substring Pattern,43.7%,Easy
460. LFU Cache,43.1%,Hard
461. Hamming Distance,75.0%,Easy
462. Minimum Moves to Equal Array Elements II,60.0%,Medium
463. Island Perimeter,69.7%,Easy
464. Can I Win,29.6%,Medium
465. Optimal Account Balancing,49.2%,Hard
466. Count The Repetitions,29.5%,Hard
467. Unique Substrings in Wraparound String,38.7%,Medium
468. Validate IP Address,26.6%,Medium
469. Convex Polygon,39.1%,Medium
470. Implement Rand10() Using Rand7(),46.2%,Medium
471. Encode String with Shortest Length,50.6%,Hard
472. Concatenated Words,49.9%,Hard
473. Matchsticks to Square,40.2%,Medium
474. Ones and Zeroes,46.8%,Medium
475. Heaters,36.6%,Medium
476. Number Complement,67.4%,Easy
477. Total Hamming Distance,52.2%,Medium
478. Generate Random Point in a Circle,39.5%,Medium
479. Largest Palindrome Product,32.1%,Hard
480. Sliding Window Median,40.8%,Hard
481. Magical String,50.8%,Medium
482. License Key Formatting,43.3%,Easy
483. Smallest Good Base,38.9%,Hard
484. Find Permutation,66.9%,Medium
485. Max Consecutive Ones,56.8%,Easy
486. Predict the Winner,51.3%,Medium
487. Max Consecutive Ones II,49.7%,Medium
488. Zuma Game,33.8%,Hard
489. Robot Room Cleaner,76.5%,Hard
490. The Maze,56.0%,Medium
491. Non-decreasing Subsequences,60.2%,Medium
492. Construct the Rectangle,55.1%,Easy
493. Reverse Pairs,30.8%,Hard
494. Target Sum,45.7%,Medium
495. Teemo Attacking,56.8%,Easy
496. Next Greater Element I,71.4%,Easy
497. Random Point in Non-overlapping Rectangles,39.4%,Medium
498. Diagonal Traverse,58.3%,Medium
499. The Maze III,47.6%,Hard
500. Keyboard Row,69.7%,Easy
501. Find Mode in Binary Search Tree,49.5%,Easy
502. IPO,49.8%,Hard
503. Next Greater Element II,63.2%,Medium
504. Base 7,48.6%,Easy
505. The Maze II,52.6%,Medium
506. Relative Ranks,60.9%,Easy
507. Perfect Number,37.6%,Easy
508. Most Frequent Subtree Sum,65.1%,Medium
509. Fibonacci Number,70.0%,Easy
510. Inorder Successor in BST II,61.0%,Medium
511. Game Play Analysis I,75.3%,Easy
512. Game Play Analysis II,52.5%,Easy
513. Find Bottom Left Tree Value,67.0%,Medium
514. Freedom Trail,47.0%,Hard
515. Find Largest Value in Each Tree Row,64.5%,Medium
516. Longest Palindromic Subsequence,61.8%,Medium
517. Super Washing Machines,40.4%,Hard
518. Coin Change II,60.8%,Medium
519. Random Flip Matrix,40.2%,Medium
520. Detect Capital,56.9%,Easy
521. Longest Uncommon Subsequence I,60.3%,Easy
522. Longest Uncommon Subsequence II,40.6%,Medium
523. Continuous Subarray Sum,28.5%,Medium
524. Longest Word in Dictionary through Deleting,51.0%,Medium
525. Contiguous Array,46.8%,Medium
526. Beautiful Arrangement,64.4%,Medium
527. Word Abbreviation,60.7%,Hard
528. Random Pick with Weight,46.1%,Medium
529. Minesweeper,65.8%,Medium
530. Minimum Absolute Difference in BST,57.2%,Easy
531. Lonely Pixel I,62.2%,Medium
532. K-diff Pairs in an Array,41.3%,Medium
533. Lonely Pixel II,48.5%,Medium
534. Game Play Analysis III,81.5%,Medium
535. Encode and Decode TinyURL,86.0%,Medium
536. Construct Binary Tree from String,56.3%,Medium
537. Complex Number Multiplication,71.4%,Medium
538. Convert BST to Greater Tree,67.9%,Medium
539. Minimum Time Difference,56.5%,Medium
540. Single Element in a Sorted Array,59.1%,Medium
541. Reverse String II,50.4%,Easy
542. 01 Matrix,45.0%,Medium
543. Diameter of Binary Tree,57.0%,Easy
544. Output Contest Matches,77.0%,Medium
545. Boundary of Binary Tree,44.6%,Medium
546. Remove Boxes,47.6%,Hard
547. Number of Provinces,63.9%,Medium
548. Split Array with Equal Sum,50.1%,Hard
549. Binary Tree Longest Consecutive Sequence II,49.5%,Medium
550. Game Play Analysis IV,41.5%,Medium
551. Student Attendance Record I,48.2%,Easy
552. Student Attendance Record II,41.5%,Hard
553. Optimal Division,60.0%,Medium
554. Brick Wall,53.7%,Medium
555. Split Concatenated Strings,43.6%,Medium
556. Next Greater Element III,34.0%,Medium
557. Reverse Words in a String III,81.9%,Easy
558. Logical OR of Two Binary Grids Represented as Quad-Trees,48.7%,Medium
559. Maximum Depth of N-ary Tree,71.7%,Easy
560. Subarray Sum Equals K,43.6%,Medium
561. Array Partition,77.4%,Easy
562. Longest Line of Consecutive One in Matrix,50.3%,Medium
563. Binary Tree Tilt,60.2%,Easy
564. Find the Closest Palindrome,21.9%,Hard
565. Array Nesting,56.4%,Medium
566. Reshape the Matrix,63.0%,Easy
567. Permutation in String,44.3%,Medium
568. Maximum Vacation Days,45.1%,Hard
569. Median Employee Salary,67.0%,Hard
570. Managers with at Least 5 Direct Reports,65.1%,Medium
571. Find Median Given Frequency of Numbers,43.2%,Hard
572. Subtree of Another Tree,46.5%,Easy
573. Squirrel Simulation,55.2%,Medium
574. Winning Candidate,59.9%,Medium
575. Distribute Candies,66.5%,Easy
576. Out of Boundary Paths,44.3%,Medium
577. Employee Bonus,74.2%,Easy
578. Get Highest Answer Rate Question,40.8%,Medium
579. Find Cumulative Salary of an Employee,45.6%,Hard
580. Count Student Number in Departments,58.6%,Medium
581. Shortest Unsorted Continuous Subarray,36.5%,Medium
582. Kill Process,68.8%,Medium
583. Delete Operation for Two Strings,60.0%,Medium
584. Find Customer Referee,69.3%,Easy
585. Investments in 2016,50.4%,Medium
586. Customer Placing the Largest Number of Orders,67.8%,Easy
587. Erect the Fence,52.1%,Hard
588. Design In-Memory File System,48.5%,Hard
589. N-ary Tree Preorder Traversal,75.8%,Easy
590. N-ary Tree Postorder Traversal,77.5%,Easy
591. Tag Validator,37.2%,Hard
592. Fraction Addition and Subtraction,52.5%,Medium
593. Valid Square,43.9%,Medium
594. Longest Harmonious Subsequence,53.6%,Easy
595. Big Countries,69.6%,Easy
596. Classes More Than 5 Students,48.5%,Easy
597. Friend Requests I: Overall Acceptance Rate,42.3%,Easy
598. Range Addition II,55.4%,Easy
599. Minimum Index Sum of Two Lists,53.6%,Easy
600. Non-negative Integers without Consecutive Ones,39.2%,Hard
601. Human Traffic of Stadium,49.4%,Hard
602. Friend Requests II: Who Has the Most Friends,60.1%,Medium
603. Consecutive Available Seats,67.2%,Easy
604. Design Compressed String Iterator,39.6%,Easy
605. Can Place Flowers,32.5%,Easy
606. Construct String from Binary Tree,64.2%,Easy
607. Sales Person,68.4%,Easy
608. Tree Node,71.6%,Medium
609. Find Duplicate File in System,67.7%,Medium
610. Triangle Judgement,70.6%,Easy
611. Valid Triangle Number,50.6%,Medium
612. Shortest Distance in a Plane,62.5%,Medium
613. Shortest Distance in a Line,80.8%,Easy
614. Second Degree Follower,37.6%,Medium
615. Average Salary: Departments VS Company,56.2%,Hard
616. Add Bold Tag in String,48.9%,Medium
617. Merge Two Binary Trees,78.7%,Easy
618. Students Report By Geography,63.9%,Hard
619. Biggest Single Number,51.4%,Easy
620. Not Boring Movies,72.3%,Easy
621. Task Scheduler,56.5%,Medium
622. Design Circular Queue,51.5%,Medium
623. Add One Row to Tree,59.5%,Medium
624. Maximum Distance in Arrays,41.8%,Medium
625. Minimum Factorization,33.5%,Medium
626. Exchange Seats,69.6%,Medium
627. Swap Salary,83.0%,Easy
628. Maximum Product of Three Numbers,45.7%,Easy
629. K Inverse Pairs Array,42.6%,Hard
630. Course Schedule III,40.2%,Hard
631. Design Excel Sum Formula,43.6%,Hard
632. Smallest Range Covering Elements from K Lists,61.1%,Hard
633. Sum of Square Numbers,34.3%,Medium
634. Find the Derangement of An Array,42.1%,Medium
635. Design Log Storage System,62.4%,Medium
636. Exclusive Time of Functions,61.2%,Medium
637. Average of Levels in Binary Tree,71.7%,Easy
638. Shopping Offers,53.1%,Medium
639. Decode Ways II,30.4%,Hard
640. Solve the Equation,43.5%,Medium
641. Design Circular Deque,57.2%,Medium
642. Design Search Autocomplete System,48.6%,Hard
643. Maximum Average Subarray I,43.7%,Easy
644. Maximum Average Subarray II,36.1%,Hard
