Questions,Acceptance Rate,Difficulty,Links,Liked,Leetcode Tags,Premium
22. Generate Parentheses,72.70%,Medium,https://leetcode.com/problems/generate-parentheses/,18K,"String,Dynamic Programming,Backtracking",
23. Merge k Sorted Lists,50.00%,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,17K,"Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort",
24. Swap Nodes in Pairs,62.50%,Medium,https://leetcode.com/problems/swap-nodes-in-pairs/,10.5K,"Linked List,Recursion",
25. Reverse Nodes in k-Group,55.10%,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/,11.1K,"Linked List,Recursion",
26. Remove Duplicates from Sorted Array,51.90%,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,11K,"Array,Two Pointers",
27. Remove Element,53.40%,Easy,https://leetcode.com/problems/remove-element/,5.8K,"Array,Two Pointers",
28. Find the Index of the First Occurrence in a String,39.40%,Easy,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,3.5K,"Two Pointers,String,String Matching",
29. Divide Two Integers,17.10%,Medium,https://leetcode.com/problems/divide-two-integers/,,,True
30. Substring with Concatenation of All Words,31.40%,Hard,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,807,"Hash Table,String,Sliding Window",
31. Next Permutation,37.70%,Medium,https://leetcode.com/problems/next-permutation/,15.3K,"Array,Two Pointers",
32. Longest Valid Parentheses,32.90%,Hard,https://leetcode.com/problems/longest-valid-parentheses/,10.9K,"String,Dynamic Programming,Stack",
33. Search in Rotated Sorted Array,39.10%,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/,21.3K,"Array,Binary Search",
34. Find First and Last Position of Element in Sorted Array,42.00%,Medium,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,17K,"Array,Binary Search",
35. Search Insert Position,43.60%,Easy,https://leetcode.com/problems/search-insert-position/,13.3K,"Array,Binary Search",
36. Valid Sudoku,58.30%,Medium,https://leetcode.com/problems/valid-sudoku/,8.7K,"Array,Hash Table,Matrix",
37. Sudoku Solver,58.00%,Hard,https://leetcode.com/problems/sudoku-solver/,7.9K,"Array,Hash Table,Backtracking,Matrix",
38. Count and Say,52.40%,Medium,https://leetcode.com/problems/count-and-say/,3.2K,String,
39. Combination Sum,68.90%,Medium,https://leetcode.com/problems/combination-sum/,16K,"Array,Backtracking",
40. Combination Sum II,53.50%,Medium,https://leetcode.com/problems/combination-sum-ii/,8.5K,"Array,Backtracking",
41. First Missing Positive,36.80%,Hard,https://leetcode.com/problems/first-missing-positive/,13.9K,"Array,Hash Table",
42. Trapping Rain Water,59.40%,Hard,https://leetcode.com/problems/trapping-rain-water/,26.5K,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack",
43. Multiply Strings,39.30%,Medium,https://leetcode.com/problems/multiply-strings/,6.2K,"Math,String,Simulation",
44. Wildcard Matching,27.00%,Hard,https://leetcode.com/problems/wildcard-matching/,6.9K,"String,Dynamic Programming,Greedy,Recursion",
45. Jump Game II,39.90%,Medium,https://leetcode.com/problems/jump-game-ii/,12.3K,"Array,Dynamic Programming,Greedy",
46. Permutations,75.90%,Medium,https://leetcode.com/problems/permutations/,15.7K,"Array,Backtracking",
47. Permutations II,57.50%,Medium,https://leetcode.com/problems/permutations-ii/,7.5K,"Array,Backtracking",
48. Rotate Image,71.30%,Medium,https://leetcode.com/problems/rotate-image/,14.6K,"Array,Math,Matrix",
49. Group Anagrams,66.80%,Medium,https://leetcode.com/problems/group-anagrams/,15.3K,"Array,Hash Table,String,Sorting",
"50. Pow(x, n)",33.10%,Medium,https://leetcode.com/problems/powx-n/,7.2K,"Math,Recursion",
51. N-Queens,64.60%,Hard,https://leetcode.com/problems/n-queens/,10.1K,"Array,Backtracking",
52. N-Queens II,71.80%,Hard,https://leetcode.com/problems/n-queens-ii/,3.3K,Backtracking,
53. Maximum Subarray,50.20%,Medium,https://leetcode.com/problems/maximum-subarray/,29.7K,"Array,Divide and Conquer,Dynamic Programming",
54. Spiral Matrix,46.30%,Medium,https://leetcode.com/problems/spiral-matrix/,12.2K,"Array,Matrix,Simulation",
55. Jump Game,38.90%,Medium,https://leetcode.com/problems/jump-game/,16.2K,"Array,Dynamic Programming,Greedy",
56. Merge Intervals,46.30%,Medium,https://leetcode.com/problems/merge-intervals/,19K,"Array,Sorting",
57. Insert Interval,39.10%,Medium,https://leetcode.com/problems/insert-interval/,8.3K,Array,
58. Length of Last Word,43.60%,Easy,https://leetcode.com/problems/length-of-last-word/,,,True
59. Spiral Matrix II,69.60%,Medium,https://leetcode.com/problems/spiral-matrix-ii/,5.7K,"Array,Matrix,Simulation",
60. Permutation Sequence,44.60%,Hard,https://leetcode.com/problems/permutation-sequence/,5.6K,"Math,Recursion",
61. Rotate List,36.20%,Medium,https://leetcode.com/problems/rotate-list/,7.8K,"Linked List,Two Pointers",
62. Unique Paths,62.80%,Medium,https://leetcode.com/problems/unique-paths/,13.8K,"Math,Dynamic Programming,Combinatorics",
63. Unique Paths II,39.50%,Medium,https://leetcode.com/problems/unique-paths-ii/,7K,"Array,Dynamic Programming,Matrix",
64. Minimum Path Sum,62.10%,Medium,https://leetcode.com/problems/minimum-path-sum/,10.8K,"Array,Dynamic Programming,Matrix",
65. Valid Number,18.80%,Hard,https://leetcode.com/problems/valid-number/,938,String,
66. Plus One,43.80%,Easy,https://leetcode.com/problems/plus-one/,7.3K,"Array,Math",
67. Add Binary,52.40%,Easy,https://leetcode.com/problems/add-binary/,8K,"Math,String,Bit Manipulation,Simulation",
68. Text Justification,37.60%,Hard,https://leetcode.com/problems/text-justification/,2.3K,"Array,String,Simulation",
69. Sqrt(x),37.50%,Easy,https://leetcode.com/problems/sqrtx/,6.4K,"Math,Binary Search",
70. Climbing Stairs,52.20%,Easy,https://leetcode.com/problems/climbing-stairs/,18.2K,"Math,Dynamic Programming,Memoization",
71. Simplify Path,40.60%,Medium,https://leetcode.com/problems/simplify-path/,,,True
72. Edit Distance,54.60%,Hard,https://leetcode.com/problems/edit-distance/,12.5K,"String,Dynamic Programming",
73. Set Matrix Zeroes,51.70%,Medium,https://leetcode.com/problems/set-matrix-zeroes/,11.4K,"Array,Hash Table,Matrix",
74. Search a 2D Matrix,47.90%,Medium,https://leetcode.com/problems/search-a-2d-matrix/,12.3K,"Array,Binary Search,Matrix",
75. Sort Colors,58.90%,Medium,https://leetcode.com/problems/sort-colors/,14.9K,"Array,Two Pointers,Sorting",
76. Minimum Window Substring,41.00%,Hard,https://leetcode.com/problems/minimum-window-substring/,15K,"Hash Table,String,Sliding Window",
77. Combinations,67.20%,Medium,https://leetcode.com/problems/combinations/,6.1K,Backtracking,
78. Subsets,75.20%,Medium,https://leetcode.com/problems/subsets/,14.4K,"Array,Backtracking,Bit Manipulation",
79. Word Search,40.30%,Medium,https://leetcode.com/problems/word-search/,13.3K,"Array,Backtracking,Matrix",
80. Remove Duplicates from Sorted Array II,52.80%,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,4.9K,"Array,Two Pointers",
81. Search in Rotated Sorted Array II,35.70%,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,6.1K,"Array,Binary Search",
82. Remove Duplicates from Sorted List II,46.00%,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,7.6K,"Linked List,Two Pointers",
83. Remove Duplicates from Sorted List,50.80%,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,7.3K,Linked List,
84. Largest Rectangle in Histogram,42.70%,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/,14.3K,"Array,Stack,Monotonic Stack",
85. Maximal Rectangle,45.00%,Hard,https://leetcode.com/problems/maximal-rectangle/,8.6K,"Array,Dynamic Programming,Stack,Matrix,Monotonic Stack",
86. Partition List,52.20%,Medium,https://leetcode.com/problems/partition-list/,5.4K,"Linked List,Two Pointers",
87. Scramble String,39.10%,Hard,https://leetcode.com/problems/scramble-string/,,,True
88. Merge Sorted Array,46.90%,Easy,https://leetcode.com/problems/merge-sorted-array/,10.5K,"Array,Two Pointers,Sorting",
89. Gray Code,57.40%,Medium,https://leetcode.com/problems/gray-code/,1.9K,"Math,Backtracking,Bit Manipulation",
90. Subsets II,56.00%,Medium,https://leetcode.com/problems/subsets-ii/,8.1K,"Array,Backtracking,Bit Manipulation",
91. Decode Ways,32.90%,Medium,https://leetcode.com/problems/decode-ways/,9.9K,"String,Dynamic Programming",
92. Reverse Linked List II,45.50%,Medium,https://leetcode.com/problems/reverse-linked-list-ii/,9.1K,Linked List,
93. Restore IP Addresses,47.70%,Medium,https://leetcode.com/problems/restore-ip-addresses/,4.7K,"String,Backtracking",
94. Binary Tree Inorder Traversal,74.00%,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/,11.5K,"Stack,Tree,Depth-First Search,Binary Tree",
95. Unique Binary Search Trees II,52.60%,Medium,https://leetcode.com/problems/unique-binary-search-trees-ii/,5.9K,"Dynamic Programming,Backtracking,Tree,Binary Search Tree,Binary Tree",
96. Unique Binary Search Trees,59.80%,Medium,https://leetcode.com/problems/unique-binary-search-trees/,9.1K,"Math,Dynamic Programming,Tree,Binary Search Tree,Binary Tree",
97. Interleaving String,37.40%,Medium,https://leetcode.com/problems/interleaving-string/,,,True
98. Validate Binary Search Tree,32.10%,Medium,https://leetcode.com/problems/validate-binary-search-tree/,14.6K,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",
99. Recover Binary Search Tree,51.20%,Medium,https://leetcode.com/problems/recover-binary-search-tree/,,,True
100. Same Tree,58.40%,Easy,https://leetcode.com/problems/same-tree/,,,True
101. Symmetric Tree,54.50%,Easy,https://leetcode.com/problems/symmetric-tree/,,,True
102. Binary Tree Level Order Traversal,64.60%,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/,13.1K,"Tree,Breadth-First Search,Binary Tree",
103. Binary Tree Zigzag Level Order Traversal,57.10%,Medium,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,9.2K,"Tree,Breadth-First Search,Binary Tree",
104. Maximum Depth of Binary Tree,74.00%,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/,10.7K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
105. Construct Binary Tree from Preorder and Inorder Traversal,61.70%,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,12.8K,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree",
106. Construct Binary Tree from Inorder and Postorder Traversal,60.20%,Medium,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,7K,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree",
107. Binary Tree Level Order Traversal II,61.40%,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,4.3K,"Tree,Breadth-First Search,Binary Tree",
108. Convert Sorted Array to Binary Search Tree,70.00%,Easy,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,9.6K,"Array,Divide and Conquer,Tree,Binary Search Tree,Binary Tree",
109. Convert Sorted List to Binary Search Tree,60.40%,Medium,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,6.8K,"Linked List,Divide and Conquer,Tree,Binary Search Tree,Binary Tree",
110. Balanced Binary Tree,49.30%,Easy,https://leetcode.com/problems/balanced-binary-tree/,8.9K,"Tree,Depth-First Search,Binary Tree",
111. Minimum Depth of Binary Tree,44.70%,Easy,https://leetcode.com/problems/minimum-depth-of-binary-tree/,5.7K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
112. Path Sum,48.50%,Easy,https://leetcode.com/problems/path-sum/,8.4K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
113. Path Sum II,57.20%,Medium,https://leetcode.com/problems/path-sum-ii/,7K,"Backtracking,Tree,Depth-First Search,Binary Tree",
114. Flatten Binary Tree to Linked List,62.00%,Medium,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,10.5K,"Linked List,Stack,Tree,Depth-First Search,Binary Tree",
115. Distinct Subsequences,44.70%,Hard,https://leetcode.com/problems/distinct-subsequences/,5.4K,"String,Dynamic Programming",
116. Populating Next Right Pointers in Each Node,60.70%,Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,8.7K,"Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree",
117. Populating Next Right Pointers in Each Node II,50.40%,Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,5.3K,"Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree",
118. Pascal's Triangle,71.10%,Easy,https://leetcode.com/problems/pascals-triangle/,10K,"Array,Dynamic Programming",
119. Pascal's Triangle II,61.00%,Easy,https://leetcode.com/problems/pascals-triangle-ii/,3.8K,"Array,Dynamic Programming",
120. Triangle,54.70%,Medium,https://leetcode.com/problems/triangle/,,,True
121. Best Time to Buy and Sell Stock,54.20%,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,25.3K,"Array,Dynamic Programming",
122. Best Time to Buy and Sell Stock II,64.10%,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,11.1K,"Array,Dynamic Programming,Greedy",
123. Best Time to Buy and Sell Stock III,45.70%,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,8.2K,"Array,Dynamic Programming",
124. Binary Tree Maximum Path Sum,39.30%,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/,14.1K,"Dynamic Programming,Tree,Depth-First Search,Binary Tree",
125. Valid Palindrome,44.60%,Easy,https://leetcode.com/problems/valid-palindrome/,6.8K,"Two Pointers,String",
126. Word Ladder II,27.50%,Hard,https://leetcode.com/problems/word-ladder-ii/,5.3K,"Hash Table,String,Backtracking,Breadth-First Search",
127. Word Ladder,37.30%,Hard,https://leetcode.com/problems/word-ladder/,10.4K,"Hash Table,String,Breadth-First Search",
128. Longest Consecutive Sequence,48.30%,Medium,https://leetcode.com/problems/longest-consecutive-sequence/,16.1K,"Array,Hash Table,Union Find",
129. Sum Root to Leaf Numbers,61.20%,Medium,https://leetcode.com/problems/sum-root-to-leaf-numbers/,6.7K,"Tree,Depth-First Search,Binary Tree",
130. Surrounded Regions,37.00%,Medium,https://leetcode.com/problems/surrounded-regions/,7.1K,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",
131. Palindrome Partitioning,65.10%,Medium,https://leetcode.com/problems/palindrome-partitioning/,10.7K,"String,Dynamic Programming,Backtracking",
132. Palindrome Partitioning II,33.80%,Hard,https://leetcode.com/problems/palindrome-partitioning-ii/,4.7K,"String,Dynamic Programming",
133. Clone Graph,53.40%,Medium,https://leetcode.com/problems/clone-graph/,8.3K,"Hash Table,Depth-First Search,Breadth-First Search,Graph",
134. Gas Station,46.10%,Medium,https://leetcode.com/problems/gas-station/,9.9K,"Array,Greedy",
135. Candy,41.10%,Hard,https://leetcode.com/problems/candy/,5.4K,"Array,Greedy",
136. Single Number,70.90%,Easy,https://leetcode.com/problems/single-number/,13.9K,"Array,Bit Manipulation",
137. Single Number II,58.70%,Medium,https://leetcode.com/problems/single-number-ii/,5.6K,"Array,Bit Manipulation",
138. Copy List with Random Pointer,51.60%,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/,11.1K,"Hash Table,Linked List",
139. Word Break,45.60%,Medium,https://leetcode.com/problems/word-break/,14K,"Array,Hash Table,String,Dynamic Programming,Trie,Memoization",
140. Word Break II,45.50%,Hard,https://leetcode.com/problems/word-break-ii/,6.1K,"Array,Hash Table,String,Dynamic Programming,Backtracking,Trie,Memoization",
141. Linked List Cycle,47.60%,Easy,https://leetcode.com/problems/linked-list-cycle/,12.3K,"Hash Table,Linked List,Two Pointers",
142. Linked List Cycle II,49.10%,Medium,https://leetcode.com/problems/linked-list-cycle-ii/,11.7K,"Hash Table,Linked List,Two Pointers",
143. Reorder List,53.00%,Medium,https://leetcode.com/problems/reorder-list/,8.8K,"Linked List,Two Pointers,Stack,Recursion",
144. Binary Tree Preorder Traversal,67.10%,Easy,https://leetcode.com/problems/binary-tree-preorder-traversal/,6.8K,"Stack,Tree,Depth-First Search,Binary Tree",
145. Binary Tree Postorder Traversal,68.30%,Easy,https://leetcode.com/problems/binary-tree-postorder-traversal/,5.9K,"Stack,Tree,Depth-First Search,Binary Tree",
146. LRU Cache,40.80%,Medium,https://leetcode.com/problems/lru-cache/,17.2K,"Hash Table,Linked List,Design,Doubly-Linked List",
147. Insertion Sort List,51.30%,Medium,https://leetcode.com/problems/insertion-sort-list/,2.7K,"Linked List,Sorting",
148. Sort List,55.40%,Medium,https://leetcode.com/problems/sort-list/,9.8K,"Linked List,Two Pointers,Divide and Conquer,Sorting,Merge Sort",
149. Max Points on a Line,25.30%,Hard,https://leetcode.com/problems/max-points-on-a-line/,3.6K,"Array,Hash Table,Math,Geometry",
150. Evaluate Reverse Polish Notation,46.20%,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation/,5.8K,"Array,Math,Stack",
151. Reverse Words in a String,33.30%,Medium,https://leetcode.com/problems/reverse-words-in-a-string/,6K,"Two Pointers,String",
152. Maximum Product Subarray,34.90%,Medium,https://leetcode.com/problems/maximum-product-subarray/,15.9K,"Array,Dynamic Programming",
153. Find Minimum in Rotated Sorted Array,49.00%,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,10.5K,"Array,Binary Search",
154. Find Minimum in Rotated Sorted Array II,43.50%,Hard,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,4K,"Array,Binary Search",
155. Min Stack,52.50%,Medium,https://leetcode.com/problems/min-stack/,11.5K,"Stack,Design",
156. Binary Tree Upside Down,62.00%,Medium,https://leetcode.com/problems/binary-tree-upside-down/,,,True
157. Read N Characters Given Read4,41.00%,Easy,https://leetcode.com/problems/read-n-characters-given-read4/,,,True
158. Read N Characters Given read4 II - Call Multiple Times,41.70%,Hard,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times/,,,True
159. Longest Substring with At Most Two Distinct Characters,53.90%,Medium,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,,,True
160. Intersection of Two Linked Lists,54.70%,Easy,https://leetcode.com/problems/intersection-of-two-linked-lists/,13K,"Hash Table,Linked List,Two Pointers",
161. One Edit Distance,34.20%,Medium,https://leetcode.com/problems/one-edit-distance/,,,True
162. Find Peak Element,46.00%,Medium,https://leetcode.com/problems/find-peak-element/,9.2K,"Array,Binary Search",
163. Missing Ranges,32.30%,Easy,https://leetcode.com/problems/missing-ranges/,,,True
164. Maximum Gap,43.50%,Hard,https://leetcode.com/problems/maximum-gap/,2.8K,"Array,Sorting,Bucket Sort,Radix Sort",
165. Compare Version Numbers,35.80%,Medium,https://leetcode.com/problems/compare-version-numbers/,,,True
166. Fraction to Recurring Decimal,24.40%,Medium,https://leetcode.com/problems/fraction-to-recurring-decimal/,,,True
167. Two Sum II - Input Array Is Sorted,60.10%,Medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,9.6K,"Array,Two Pointers,Binary Search",
168. Excel Sheet Column Title,35.80%,Easy,https://leetcode.com/problems/excel-sheet-column-title/,3.8K,"Math,String",
169. Majority Element,63.90%,Easy,https://leetcode.com/problems/majority-element/,14.8K,"Array,Hash Table,Divide and Conquer,Sorting,Counting",
170. Two Sum III - Data structure design,37.40%,Easy,https://leetcode.com/problems/two-sum-iii-data-structure-design/,,,True
171. Excel Sheet Column Number,62.20%,Easy,https://leetcode.com/problems/excel-sheet-column-number/,4.2K,"Math,String",
172. Factorial Trailing Zeroes,42.30%,Medium,https://leetcode.com/problems/factorial-trailing-zeroes/,2.7K,Math,
173. Binary Search Tree Iterator,69.90%,Medium,https://leetcode.com/problems/binary-search-tree-iterator/,7.5K,"Stack,Tree,Design,Binary Search Tree,Binary Tree,Iterator",
174. Dungeon Game,37.50%,Hard,https://leetcode.com/problems/dungeon-game/,5.2K,"Array,Dynamic Programming,Matrix",
175. Combine Two Tables,74.40%,Easy,https://leetcode.com/problems/combine-two-tables/,2.9K,Database,
176. Second Highest Salary,37.90%,Medium,https://leetcode.com/problems/second-highest-salary/,,,True
177. Nth Highest Salary,37.80%,Medium,https://leetcode.com/problems/nth-highest-salary/,1.6K,Database,
178. Rank Scores,60.50%,Medium,https://leetcode.com/problems/rank-scores/,,,True
179. Largest Number,34.70%,Medium,https://leetcode.com/problems/largest-number/,6.9K,"Array,String,Greedy,Sorting",
180. Consecutive Numbers,46.50%,Medium,https://leetcode.com/problems/consecutive-numbers/,,,True
181. Employees Earning More Than Their Managers,69.00%,Easy,https://leetcode.com/problems/employees-earning-more-than-their-managers/,,,True
182. Duplicate Emails,70.80%,Easy,https://leetcode.com/problems/duplicate-emails/,,,True
183. Customers Who Never Order,68.60%,Easy,https://leetcode.com/problems/customers-who-never-order/,,,True
184. Department Highest Salary,50.10%,Medium,https://leetcode.com/problems/department-highest-salary/,1.7K,Database,
185. Department Top Three Salaries,50.50%,Hard,https://leetcode.com/problems/department-top-three-salaries/,,,True
186. Reverse Words in a String II,53.10%,Medium,https://leetcode.com/problems/reverse-words-in-a-string-ii/,,,True
187. Repeated DNA Sequences,47.20%,Medium,https://leetcode.com/problems/repeated-dna-sequences/,,,True
188. Best Time to Buy and Sell Stock IV,39.30%,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,6.4K,"Array,Dynamic Programming",
189. Rotate Array,39.50%,Medium,https://leetcode.com/problems/rotate-array/,14.2K,"Array,Math,Two Pointers",
190. Reverse Bits,54.50%,Easy,https://leetcode.com/problems/reverse-bits/,4.4K,"Divide and Conquer,Bit Manipulation",
191. Number of 1 Bits,67.00%,Easy,https://leetcode.com/problems/number-of-1-bits/,5.4K,"Divide and Conquer,Bit Manipulation",
192. Word Frequency,25.50%,Medium,https://leetcode.com/problems/word-frequency/,483,Shell,
193. Valid Phone Numbers,26.00%,Easy,https://leetcode.com/problems/valid-phone-numbers/,,,True
194. Transpose File,25.40%,Medium,https://leetcode.com/problems/transpose-file/,,,True
195. Tenth Line,32.80%,Easy,https://leetcode.com/problems/tenth-line/,,,True
196. Delete Duplicate Emails,61.20%,Easy,https://leetcode.com/problems/delete-duplicate-emails/,,,True
197. Rising Temperature,44.70%,Easy,https://leetcode.com/problems/rising-temperature/,,,True
198. House Robber,49.50%,Medium,https://leetcode.com/problems/house-robber/,17.8K,"Array,Dynamic Programming",
199. Binary Tree Right Side View,61.80%,Medium,https://leetcode.com/problems/binary-tree-right-side-view/,10K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
200. Number of Islands,57.20%,Medium,https://leetcode.com/problems/number-of-islands/,19.9K,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",
201. Bitwise AND of Numbers Range,42.50%,Medium,https://leetcode.com/problems/bitwise-and-of-numbers-range/,2.8K,Bit Manipulation,
202. Happy Number,54.90%,Easy,https://leetcode.com/problems/happy-number/,8.7K,"Hash Table,Math,Two Pointers",
203. Remove Linked List Elements,46.30%,Easy,https://leetcode.com/problems/remove-linked-list-elements/,7.2K,"Linked List,Recursion",
204. Count Primes,33.10%,Medium,https://leetcode.com/problems/count-primes/,6.8K,"Array,Math,Enumeration,Number Theory",
205. Isomorphic Strings,43.10%,Easy,https://leetcode.com/problems/isomorphic-strings/,6.8K,"Hash Table,String",
206. Reverse Linked List,73.90%,Easy,https://leetcode.com/problems/reverse-linked-list/,17.9K,"Linked List,Recursion",
207. Course Schedule,45.40%,Medium,https://leetcode.com/problems/course-schedule/,13.4K,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",
208. Implement Trie (Prefix Tree),63.00%,Medium,https://leetcode.com/problems/implement-trie-prefix-tree/,10.1K,"Hash Table,String,Design,Trie",
209. Minimum Size Subarray Sum,45.10%,Medium,https://leetcode.com/problems/minimum-size-subarray-sum/,9.4K,"Array,Binary Search,Sliding Window,Prefix Sum",
210. Course Schedule II,48.60%,Medium,https://leetcode.com/problems/course-schedule-ii/,9.2K,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",
211. Design Add and Search Words Data Structure,44.00%,Medium,https://leetcode.com/problems/design-add-and-search-words-data-structure/,6.9K,"String,Depth-First Search,Design,Trie",
212. Word Search II,36.30%,Hard,https://leetcode.com/problems/word-search-ii/,8.4K,"Array,String,Backtracking,Trie,Matrix",
213. House Robber II,41.10%,Medium,https://leetcode.com/problems/house-robber-ii/,8.3K,"Array,Dynamic Programming",
214. Shortest Palindrome,32.40%,Hard,https://leetcode.com/problems/shortest-palindrome/,3.1K,"String,Rolling Hash,String Matching,Hash Function",
215. Kth Largest Element in an Array,66.30%,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/,13.9K,"Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect",
216. Combination Sum III,67.80%,Medium,https://leetcode.com/problems/combination-sum-iii/,5K,"Array,Backtracking",
217. Contains Duplicate,61.40%,Easy,https://leetcode.com/problems/contains-duplicate/,9.2K,"Array,Hash Table,Sorting",
218. The Skyline Problem,42.00%,Hard,https://leetcode.com/problems/the-skyline-problem/,5.5K,"Array,Divide and Conquer,Binary Indexed Tree,Segment Tree,Line Sweep,Heap (Priority Queue),Ordered Set",
